3.140854	1.301936
0.324706	3.384459
-0.984465	-3.254355
-2.086452	-2.684533
0.947898	-3.265194
-0.769276	-3.311830
-1.669487	-2.961894
-1.959583	2.778495
3.279238	-0.898109
3.326268	-0.704232
-0.412318	3.374907
-0.659152	3.335494
-3.198591	1.152830
1.917962	-2.807387
1.587002	-3.006896
1.594173	3.003101
-3.381709	0.352200
-0.307228	3.386091
1.784760	2.893896
-0.341879	-3.382768
-1.263258	3.156609
2.985058	1.627707
-1.250905	-3.161525
2.665793	-2.110342
-0.738783	-3.318765
2.291356	2.511910
0.954245	3.263344
3.359101	0.525779
-2.221882	2.573566
1.275432	-3.151710
-2.575525	-2.219610
0.602774	-3.346142
2.716663	2.044442
0.743383	-3.317737
-1.325298	3.131068
1.060263	-3.230456
-3.129754	1.328397
-0.821577	-3.299244
2.749352	2.000266
-0.526940	-3.358919
3.123614	-1.342772
-0.807648	-3.302681
-2.581002	2.213239
-2.461378	-2.345553
0.926922	-3.271210
1.619647	-2.989439
1.670654	2.961236
2.349807	2.457317
-2.845218	-1.861379
0.128705	-3.397563
-2.409787	-2.398526
0.927185	-3.271136
1.544442	3.028977
3.166804	1.237479
-3.048001	-1.506548
3.314598	-0.757259
1.102178	-3.216396
1.586302	3.007265
2.662998	2.113869
0.471877	-3.367095
0.410368	-3.375144
1.965080	-2.774610
-1.946182	-2.787898
3.147362	-1.286124
2.185022	-2.604933
3.367293	0.470467
3.208442	1.125123
3.243132	-1.020831
2.630581	-2.154076
3.263224	0.954658
-2.031471	2.726376
-0.849406	-3.292189
0.066122	-3.399357
-0.138715	3.397169
2.181293	2.608057
3.399953	-0.017806
-3.399055	0.080177
-2.243273	2.554941
3.290655	0.855329
-1.840967	2.858468
-2.126537	2.652893
3.202805	1.141071
2.367021	-2.440739
-1.546637	-3.027856
-2.531213	2.270013
-2.575471	-2.219673
2.331695	2.474510
2.324110	-2.481636
-0.907133	-3.276753
-2.861678	-1.835974
-2.926864	1.730164
-2.682012	-2.089692
-3.375858	-0.404450
-3.212105	1.114621
-2.524833	2.277107
-3.351755	0.570737
3.336203	0.655552
-2.217457	-2.577379
0.068953	-3.399301
-3.385090	-0.318069
-2.853987	1.847906
2.135031	-2.646062
-0.175065	-3.395490
-1.753065	-2.913205
-0.086567	3.398898
2.709406	2.054049
3.261802	0.959504
3.158972	1.257337
0.575213	3.350989
0.034693	-3.399823
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
